"departure_airport","departure_date","amount"
Пенза - Пенза,2016-08-16,4
Курган - Курган,2016-08-16,4
Магнитогорск - Магнитогорск,2016-08-16,4
Сыктывкар - Сыктывкар,2016-08-16,4
Южно-Сахалинск - Хомутово,2016-08-16,4
Абакан - Абакан,2016-08-16,4
Нижнекамск - Бегишево,2016-08-16,4
Усть-Илимск - Усть-Илимск,2016-08-16,3
Омск - Омск-Центральный,2016-08-16,3
Бугульма - Бугульма,2016-08-16,3
Самара - Курумоч,2016-08-16,3
Краснодар - Краснодар,2016-08-16,3
Когалым - Когалым,2016-08-16,3
Минеральные Воды - Минеральные Воды,2016-08-16,3
Нижневартовск - Нижневартовск,2016-08-16,3
Нарьян-Мар - Нарьян-Мар,2016-08-16,3
Нальчик - Нальчик,2016-08-16,3
Ухта - Ухта,2016-08-16,3
Нерюнгри - Чульман,2016-08-16,3
Геленджик - Геленджик,2016-08-16,3
Калуга - Калуга,2016-08-16,3
Анапа - Витязево,2016-08-16,3
Ноябрьск - Ноябрьск,2016-08-16,3
Владивосток - Владивосток,2016-08-16,3
Махачкала - Уйташ,2016-08-16,3
Калининград - Храброво,2016-08-16,3
Урай - Петрозаводск,2016-08-16,2
Горно-Алтайск - Горно-Алтайск,2016-08-16,2
Белоярский - Белоярский,2016-08-16,2
Мурманск - Мурманск,2016-08-16,2
Курск - Курск-Восточный,2016-08-16,2
Череповец - Череповец,2016-08-16,2
Владикавказ - Беслан,2016-08-16,2
Воронеж - Воронеж,2016-08-16,2
Астрахань - Астрахань,2016-08-16,2
Иваново - Иваново-Южный,2016-08-16,2
Салехард - Салехард,2016-08-16,2
Барнаул - Барнаул,2016-08-16,2
Норильск - Норильск,2016-08-16,2
Кемерово - Кемерово,2016-08-16,2
Грозный - Грозный,2016-08-16,2
Якутск - Якутск,2016-08-16,2
Саранск - Саранск,2016-08-16,2
Удачный - Полярный,2016-08-16,1
Усть-Кут - Усть-Кут,2016-08-16,1
Чита - Чита,2016-08-16,1
Надым - Надым,2016-08-16,1
Псков - Псков,2016-08-16,1
Кызыл - Кызыл,2016-08-16,1
Нягань - Нягань,2016-08-16,1
Нефтеюганск - Нефтеюганск,2016-08-16,1
Липецк - Липецк,2016-08-16,1
Ярославль - Туношна,2016-08-16,1
Улан-Удэ - Байкал,2016-08-16,1
Стрежевой - Стрежевой,2016-08-16,1
Ижевск - Ижевск,2016-08-16,1
Магадан - Магадан,2016-08-16,1
Анадырь - Анадырь,2016-08-16,1
Орск - Орск,2016-08-16,1
Братск - Братск,2016-08-16,1
Благовещенск - Игнатьево,2016-08-16,1
Москва - Шереметьево,2016-08-17,49
Москва - Домодедово,2016-08-17,49
Санкт-Петербург - Пулково,2016-08-17,33
Москва - Внуково,2016-08-17,26
Новосибирск - Толмачёво,2016-08-17,17
Красноярск - Емельяново,2016-08-17,12
Екатеринбург - Кольцово,2016-08-17,12
Пермь - Пермь,2016-08-17,11
Сочи - Сочи,2016-08-17,11
Брянск - Брянск,2016-08-17,10
Сургут - Сургут,2016-08-17,10
Ханты-Мансийск - Ханты-Мансийск,2016-08-17,10
Советский - Советский,2016-08-17,9
Ростов-на-Дону - Ростов-на-Дону,2016-08-17,9
Новый Уренгой - Новый Уренгой,2016-08-17,8
Казань - Казань,2016-08-17,8
Мирный - Мирный,2016-08-17,7
Челябинск - Челябинск,2016-08-17,7
Тюмень - Рощино,2016-08-17,7
Иркутск - Иркутск,2016-08-17,7
Уфа - Уфа,2016-08-17,7
Хабаровск - Хабаровск-Новый,2016-08-17,6
Ульяновск - Баратаевка,2016-08-17,6
Краснодар - Краснодар,2016-08-17,6
Киров - Победилово,2016-08-17,6
Новокузнецк - Спиченково,2016-08-17,6
Архангельск - Талаги,2016-08-17,6
Нижний Новгород - Стригино,2016-08-17,6
Белгород - Белгород,2016-08-17,6
Воркута - Воркута,2016-08-17,5
Элиста - Элиста,2016-08-17,5
Петрозаводск - Бесовец,2016-08-17,5
Йошкар-Ола - Йошкар-Ола,2016-08-17,5
Чебоксары - Чебоксары,2016-08-17,5
Абакан - Абакан,2016-08-17,5
Волгоград - Гумрак,2016-08-17,5
Оренбург - Оренбург-Центральный,2016-08-17,5
Тамбов - Донское,2016-08-17,4
Якутск - Якутск,2016-08-17,4
Махачкала - Уйташ,2016-08-17,4
Южно-Сахалинск - Хомутово,2016-08-17,4
Надым - Надым,2016-08-17,4
Нижневартовск - Нижневартовск,2016-08-17,4
Пенза - Пенза,2016-08-17,4
Саратов - Саратов-Центральный,2016-08-17,4
Сыктывкар - Сыктывкар,2016-08-17,4
Нижнекамск - Бегишево,2016-08-17,4
Минеральные Воды - Минеральные Воды,2016-08-17,4
Магнитогорск - Магнитогорск,2016-08-17,4
Барнаул - Барнаул,2016-08-17,3
Ухта - Ухта,2016-08-17,3
Нарьян-Мар - Нарьян-Мар,2016-08-17,3
Калининград - Храброво,2016-08-17,3
Омск - Омск-Центральный,2016-08-17,3
Нальчик - Нальчик,2016-08-17,3
Ульяновск - Ульяновск-Восточный,2016-08-17,3
Владивосток - Владивосток,2016-08-17,3
Чита - Чита,2016-08-17,3
Томск - Богашёво,2016-08-17,3
Курск - Курск-Восточный,2016-08-17,3
Когалым - Когалым,2016-08-17,3
Астрахань - Астрахань,2016-08-17,3
Самара - Курумоч,2016-08-17,3
Бугульма - Бугульма,2016-08-17,3
Геленджик - Геленджик,2016-08-17,2
Салехард - Салехард,2016-08-17,2
Усть-Илимск - Усть-Илимск,2016-08-17,2
Владикавказ - Беслан,2016-08-17,2
Череповец - Череповец,2016-08-17,2
Саранск - Саранск,2016-08-17,2
Воронеж - Воронеж,2016-08-17,2
Ярославль - Туношна,2016-08-17,2
Урай - Петрозаводск,2016-08-17,2
Мурманск - Мурманск,2016-08-17,2
Анапа - Витязево,2016-08-17,2
Кемерово - Кемерово,2016-08-17,2
Нерюнгри - Чульман,2016-08-17,2
Ноябрьск - Ноябрьск,2016-08-17,2
Норильск - Норильск,2016-08-17,2
Курган - Курган,2016-08-17,2
Благовещенск - Игнатьево,2016-08-17,1
Петропавловск-Камчатский - Елизово,2016-08-17,1
Магадан - Магадан,2016-08-17,1
Братск - Братск,2016-08-17,1
Горно-Алтайск - Горно-Алтайск,2016-08-17,1
Орск - Орск,2016-08-17,1
Стрежевой - Стрежевой,2016-08-17,1
Псков - Псков,2016-08-17,1
Усть-Кут - Усть-Кут,2016-08-17,1
Ижевск - Ижевск,2016-08-17,1
Калуга - Калуга,2016-08-17,1
Комсомольск-на-Амуре - Хурба,2016-08-17,1
Грозный - Грозный,2016-08-17,1
Нефтеюганск - Нефтеюганск,2016-08-17,1
Анадырь - Анадырь,2016-08-17,1
Ставрополь - Ставрополь,2016-08-17,1
Москва - Домодедово,2016-08-18,54
Москва - Шереметьево,2016-08-18,49
Санкт-Петербург - Пулково,2016-08-18,30
Москва - Внуково,2016-08-18,30
Новосибирск - Толмачёво,2016-08-18,17
Екатеринбург - Кольцово,2016-08-18,12
Красноярск - Емельяново,2016-08-18,12
Ростов-на-Дону - Ростов-на-Дону,2016-08-18,11
Брянск - Брянск,2016-08-18,10
Пермь - Пермь,2016-08-18,10
Новый Уренгой - Новый Уренгой,2016-08-18,9
Советский - Советский,2016-08-18,9
Сочи - Сочи,2016-08-18,9
Сургут - Сургут,2016-08-18,8
Казань - Казань,2016-08-18,8
Ханты-Мансийск - Ханты-Мансийск,2016-08-18,8
Тюмень - Рощино,2016-08-18,7
Ульяновск - Баратаевка,2016-08-18,7
Петрозаводск - Бесовец,2016-08-18,7
Хабаровск - Хабаровск-Новый,2016-08-18,7
Киров - Победилово,2016-08-18,6
Нижний Новгород - Стригино,2016-08-18,6
Иркутск - Иркутск,2016-08-18,6
Челябинск - Челябинск,2016-08-18,6
Курган - Курган,2016-08-18,6
Мирный - Мирный,2016-08-18,6
Белгород - Белгород,2016-08-18,6
Уфа - Уфа,2016-08-18,6
Новокузнецк - Спиченково,2016-08-18,5
Оренбург - Оренбург-Центральный,2016-08-18,5
Южно-Сахалинск - Хомутово,2016-08-18,5
Чебоксары - Чебоксары,2016-08-18,5
Ноябрьск - Ноябрьск,2016-08-18,5
Волгоград - Гумрак,2016-08-18,5
Томск - Богашёво,2016-08-18,5
Воркута - Воркута,2016-08-18,5
Элиста - Элиста,2016-08-18,5
Архангельск - Талаги,2016-08-18,5
Тамбов - Донское,2016-08-18,4
Йошкар-Ола - Йошкар-Ола,2016-08-18,4
Нижнекамск - Бегишево,2016-08-18,4
Магнитогорск - Магнитогорск,2016-08-18,4
Сыктывкар - Сыктывкар,2016-08-18,4
Усть-Илимск - Усть-Илимск,2016-08-18,4
Пенза - Пенза,2016-08-18,4
Саратов - Саратов-Центральный,2016-08-18,4
Бугульма - Бугульма,2016-08-18,3
Минеральные Воды - Минеральные Воды,2016-08-18,3
Махачкала - Уйташ,2016-08-18,3
Омск - Омск-Центральный,2016-08-18,3
Ухта - Ухта,2016-08-18,3
Абакан - Абакан,2016-08-18,3
Владивосток - Владивосток,2016-08-18,3
Калуга - Калуга,2016-08-18,3
Когалым - Когалым,2016-08-18,3
Нижневартовск - Нижневартовск,2016-08-18,3
Улан-Удэ - Байкал,2016-08-18,3
Нерюнгри - Чульман,2016-08-18,3
Нальчик - Нальчик,2016-08-18,3
Самара - Курумоч,2016-08-18,3
Краснодар - Краснодар,2016-08-18,3
Геленджик - Геленджик,2016-08-18,3
Ульяновск - Ульяновск-Восточный,2016-08-18,3
Мурманск - Мурманск,2016-08-18,2
Урай - Петрозаводск,2016-08-18,2
Надым - Надым,2016-08-18,2
Анапа - Витязево,2016-08-18,2
Воронеж - Воронеж,2016-08-18,2
Орск - Орск,2016-08-18,2
Нарьян-Мар - Нарьян-Мар,2016-08-18,2
Салехард - Салехард,2016-08-18,2
Череповец - Череповец,2016-08-18,2
Якутск - Якутск,2016-08-18,2
Барнаул - Барнаул,2016-08-18,2
Астрахань - Астрахань,2016-08-18,2
Калининград - Храброво,2016-08-18,2
Ставрополь - Ставрополь,2016-08-18,2
Саранск - Саранск,2016-08-18,2
Курск - Курск-Восточный,2016-08-18,2
Белоярский - Белоярский,2016-08-18,2
Владикавказ - Беслан,2016-08-18,2
Норильск - Норильск,2016-08-18,2
Псков - Псков,2016-08-18,2
Нефтеюганск - Нефтеюганск,2016-08-18,1
Магадан - Магадан,2016-08-18,1
Анадырь - Анадырь,2016-08-18,1
Чита - Чита,2016-08-18,1
Липецк - Липецк,2016-08-18,1
Кызыл - Кызыл,2016-08-18,1
Кемерово - Кемерово,2016-08-18,1
Ярославль - Туношна,2016-08-18,1
Ижевск - Ижевск,2016-08-18,1
Усть-Кут - Усть-Кут,2016-08-18,1
Благовещенск - Игнатьево,2016-08-18,1
Братск - Братск,2016-08-18,1
Стрежевой - Стрежевой,2016-08-18,1
Грозный - Грозный,2016-08-18,1
Горно-Алтайск - Горно-Алтайск,2016-08-18,1
Москва - Домодедово,2016-08-19,51
Москва - Шереметьево,2016-08-19,47
Санкт-Петербург - Пулково,2016-08-19,30
Москва - Внуково,2016-08-19,26
Новосибирск - Толмачёво,2016-08-19,17
Красноярск - Емельяново,2016-08-19,11
Брянск - Брянск,2016-08-19,10
Екатеринбург - Кольцово,2016-08-19,10
Пермь - Пермь,2016-08-19,10
Ростов-на-Дону - Ростов-на-Дону,2016-08-19,9
Советский - Советский,2016-08-19,9
Сочи - Сочи,2016-08-19,8
Новый Уренгой - Новый Уренгой,2016-08-19,8
Сургут - Сургут,2016-08-19,8
Ханты-Мансийск - Ханты-Мансийск,2016-08-19,8
Казань - Казань,2016-08-19,7
Киров - Победилово,2016-08-19,6
Хабаровск - Хабаровск-Новый,2016-08-19,6
Ульяновск - Баратаевка,2016-08-19,6
Тюмень - Рощино,2016-08-19,6
Белгород - Белгород,2016-08-19,6
Уфа - Уфа,2016-08-19,6
Челябинск - Челябинск,2016-08-19,6
Мирный - Мирный,2016-08-19,6
Нижний Новгород - Стригино,2016-08-19,5
Оренбург - Оренбург-Центральный,2016-08-19,5
Петрозаводск - Бесовец,2016-08-19,5
Чебоксары - Чебоксары,2016-08-19,5
Иркутск - Иркутск,2016-08-19,5
Новокузнецк - Спиченково,2016-08-19,5
Волгоград - Гумрак,2016-08-19,5
Элиста - Элиста,2016-08-19,4
Архангельск - Талаги,2016-08-19,4
Йошкар-Ола - Йошкар-Ола,2016-08-19,4
Пенза - Пенза,2016-08-19,4
Южно-Сахалинск - Хомутово,2016-08-19,4
Тамбов - Донское,2016-08-19,4
Воркута - Воркута,2016-08-19,4
Саратов - Саратов-Центральный,2016-08-19,4
Омск - Омск-Центральный,2016-08-19,4
Сыктывкар - Сыктывкар,2016-08-19,4
Магнитогорск - Магнитогорск,2016-08-19,4
Минеральные Воды - Минеральные Воды,2016-08-19,3
Нижневартовск - Нижневартовск,2016-08-19,3
Нижнекамск - Бегишево,2016-08-19,3
Томск - Богашёво,2016-08-19,3
Абакан - Абакан,2016-08-19,3
Нальчик - Нальчик,2016-08-19,3
Ульяновск - Ульяновск-Восточный,2016-08-19,3
Ухта - Ухта,2016-08-19,3
Когалым - Когалым,2016-08-19,3
Владивосток - Владивосток,2016-08-19,3
Норильск - Норильск,2016-08-19,3
Нарьян-Мар - Нарьян-Мар,2016-08-19,3
Махачкала - Уйташ,2016-08-19,3
Бугульма - Бугульма,2016-08-19,3
Краснодар - Краснодар,2016-08-19,3
Самара - Курумоч,2016-08-19,3
Барнаул - Барнаул,2016-08-19,2
Нерюнгри - Чульман,2016-08-19,2
Ноябрьск - Ноябрьск,2016-08-19,2
Мурманск - Мурманск,2016-08-19,2
Калининград - Храброво,2016-08-19,2
Салехард - Салехард,2016-08-19,2
Астрахань - Астрахань,2016-08-19,2
Саранск - Саранск,2016-08-19,2
Урай - Петрозаводск,2016-08-19,2
Курск - Курск-Восточный,2016-08-19,2
Ставрополь - Ставрополь,2016-08-19,2
Череповец - Череповец,2016-08-19,2
Воронеж - Воронеж,2016-08-19,2
Анапа - Витязево,2016-08-19,2
Усть-Илимск - Усть-Илимск,2016-08-19,2
Владикавказ - Беслан,2016-08-19,2
Курган - Курган,2016-08-19,2
Якутск - Якутск,2016-08-19,2
Усть-Кут - Усть-Кут,2016-08-19,1
Благовещенск - Игнатьево,2016-08-19,1
Ижевск - Ижевск,2016-08-19,1
Стрежевой - Стрежевой,2016-08-19,1
Грозный - Грозный,2016-08-19,1
Липецк - Липецк,2016-08-19,1
Калуга - Калуга,2016-08-19,1
Братск - Братск,2016-08-19,1
Надым - Надым,2016-08-19,1
Чита - Чита,2016-08-19,1
Псков - Псков,2016-08-19,1
Горно-Алтайск - Горно-Алтайск,2016-08-19,1
Ярославль - Туношна,2016-08-19,1
Москва - Домодедово,2016-08-20,53
Москва - Шереметьево,2016-08-20,50
Санкт-Петербург - Пулково,2016-08-20,32
Москва - Внуково,2016-08-20,28
Новосибирск - Толмачёво,2016-08-20,17
Ростов-на-Дону - Ростов-на-Дону,2016-08-20,13
Екатеринбург - Кольцово,2016-08-20,12
Красноярск - Емельяново,2016-08-20,11
Сочи - Сочи,2016-08-20,11
Сургут - Сургут,2016-08-20,10
Пермь - Пермь,2016-08-20,10
Брянск - Брянск,2016-08-20,10
Советский - Советский,2016-08-20,9
Новый Уренгой - Новый Уренгой,2016-08-20,8
Челябинск - Челябинск,2016-08-20,8
Новокузнецк - Спиченково,2016-08-20,8
Ханты-Мансийск - Ханты-Мансийск,2016-08-20,8
Хабаровск - Хабаровск-Новый,2016-08-20,8
Тюмень - Рощино,2016-08-20,8
Казань - Казань,2016-08-20,8
Мирный - Мирный,2016-08-20,7
Ульяновск - Баратаевка,2016-08-20,7
Нижний Новгород - Стригино,2016-08-20,7
Иркутск - Иркутск,2016-08-20,7
Белгород - Белгород,2016-08-20,6
Архангельск - Талаги,2016-08-20,6
Уфа - Уфа,2016-08-20,6
Петрозаводск - Бесовец,2016-08-20,6
Киров - Победилово,2016-08-20,6
Чебоксары - Чебоксары,2016-08-20,5
Элиста - Элиста,2016-08-20,5
Абакан - Абакан,2016-08-20,5
Йошкар-Ола - Йошкар-Ола,2016-08-20,5
Волгоград - Гумрак,2016-08-20,5
Оренбург - Оренбург-Центральный,2016-08-20,5
Пенза - Пенза,2016-08-20,4
Саратов - Саратов-Центральный,2016-08-20,4
Барнаул - Барнаул,2016-08-20,4
Геленджик - Геленджик,2016-08-20,4
Тамбов - Донское,2016-08-20,4
Махачкала - Уйташ,2016-08-20,4
Воркута - Воркута,2016-08-20,4
Нижнекамск - Бегишево,2016-08-20,4
Сыктывкар - Сыктывкар,2016-08-20,4
Минеральные Воды - Минеральные Воды,2016-08-20,4
Южно-Сахалинск - Хомутово,2016-08-20,4
Краснодар - Краснодар,2016-08-20,4
Магнитогорск - Магнитогорск,2016-08-20,4
Томск - Богашёво,2016-08-20,4
Калининград - Храброво,2016-08-20,3
Нижневартовск - Нижневартовск,2016-08-20,3
Надым - Надым,2016-08-20,3
Нальчик - Нальчик,2016-08-20,3
Бугульма - Бугульма,2016-08-20,3
Ноябрьск - Ноябрьск,2016-08-20,3
Усть-Илимск - Усть-Илимск,2016-08-20,3
Омск - Омск-Центральный,2016-08-20,3
Курган - Курган,2016-08-20,3
Владивосток - Владивосток,2016-08-20,3
Самара - Курумоч,2016-08-20,3
Якутск - Якутск,2016-08-20,3
Ухта - Ухта,2016-08-20,3
Курск - Курск-Восточный,2016-08-20,3
Кемерово - Кемерово,2016-08-20,3
Астрахань - Астрахань,2016-08-20,3
Калуга - Калуга,2016-08-20,3
Когалым - Когалым,2016-08-20,3
Ульяновск - Ульяновск-Восточный,2016-08-20,3
Анапа - Витязево,2016-08-20,2
Саранск - Саранск,2016-08-20,2
Нерюнгри - Чульман,2016-08-20,2
Мурманск - Мурманск,2016-08-20,2
Норильск - Норильск,2016-08-20,2
Чита - Чита,2016-08-20,2
Кызыл - Кызыл,2016-08-20,2
Псков - Псков,2016-08-20,2
Череповец - Череповец,2016-08-20,2
Владикавказ - Беслан,2016-08-20,2
Нарьян-Мар - Нарьян-Мар,2016-08-20,2
Урай - Петрозаводск,2016-08-20,2
Воронеж - Воронеж,2016-08-20,2
Салехард - Салехард,2016-08-20,2
Иваново - Иваново-Южный,2016-08-20,2
Орск - Орск,2016-08-20,1
Ижевск - Ижевск,2016-08-20,1
Ставрополь - Ставрополь,2016-08-20,1
Стрежевой - Стрежевой,2016-08-20,1
Усть-Кут - Усть-Кут,2016-08-20,1
Грозный - Грозный,2016-08-20,1
Ярославль - Туношна,2016-08-20,1
Братск - Братск,2016-08-20,1
Петропавловск-Камчатский - Елизово,2016-08-20,1
Липецк - Липецк,2016-08-20,1
Благовещенск - Игнатьево,2016-08-20,1
Нефтеюганск - Нефтеюганск,2016-08-20,1
Улан-Удэ - Байкал,2016-08-20,1
Белоярский - Белоярский,2016-08-20,1
Горно-Алтайск - Горно-Алтайск,2016-08-20,1
Москва - Домодедово,2016-08-21,54
Москва - Шереметьево,2016-08-21,50
Санкт-Петербург - Пулково,2016-08-21,32
Москва - Внуково,2016-08-21,30
Новосибирск - Толмачёво,2016-08-21,17
Красноярск - Емельяново,2016-08-21,13
Сочи - Сочи,2016-08-21,11
Екатеринбург - Кольцово,2016-08-21,11
Брянск - Брянск,2016-08-21,10
Пермь - Пермь,2016-08-21,10
Ростов-на-Дону - Ростов-на-Дону,2016-08-21,10
Ханты-Мансийск - Ханты-Мансийск,2016-08-21,9
Советский - Советский,2016-08-21,9
Сургут - Сургут,2016-08-21,9
Новый Уренгой - Новый Уренгой,2016-08-21,8
Казань - Казань,2016-08-21,8
Уфа - Уфа,2016-08-21,7
Архангельск - Талаги,2016-08-21,7
Челябинск - Челябинск,2016-08-21,6
Петрозаводск - Бесовец,2016-08-21,6
Киров - Победилово,2016-08-21,6
Белгород - Белгород,2016-08-21,6
Ульяновск - Баратаевка,2016-08-21,6
Хабаровск - Хабаровск-Новый,2016-08-21,6
Мирный - Мирный,2016-08-21,6
Иркутск - Иркутск,2016-08-21,6
Элиста - Элиста,2016-08-21,6
Тюмень - Рощино,2016-08-21,6
Воркута - Воркута,2016-08-21,6
Чебоксары - Чебоксары,2016-08-21,5
Краснодар - Краснодар,2016-08-21,5
Южно-Сахалинск - Хомутово,2016-08-21,5
Новокузнецк - Спиченково,2016-08-21,5
Сыктывкар - Сыктывкар,2016-08-21,5
Волгоград - Гумрак,2016-08-21,5
Нижний Новгород - Стригино,2016-08-21,5
Оренбург - Оренбург-Центральный,2016-08-21,5
Якутск - Якутск,2016-08-21,4
Минеральные Воды - Минеральные Воды,2016-08-21,4
Нижнекамск - Бегишево,2016-08-21,4
Курган - Курган,2016-08-21,4
Абакан - Абакан,2016-08-21,4
Магнитогорск - Магнитогорск,2016-08-21,4
Тамбов - Донское,2016-08-21,4
Пенза - Пенза,2016-08-21,4
Томск - Богашёво,2016-08-21,4
Саратов - Саратов-Центральный,2016-08-21,4
Ноябрьск - Ноябрьск,2016-08-21,4
Йошкар-Ола - Йошкар-Ола,2016-08-21,4
Усть-Илимск - Усть-Илимск,2016-08-21,3
Ухта - Ухта,2016-08-21,3
Омск - Омск-Центральный,2016-08-21,3
Астрахань - Астрахань,2016-08-21,3
Махачкала - Уйташ,2016-08-21,3
Когалым - Когалым,2016-08-21,3
Владивосток - Владивосток,2016-08-21,3
Нижневартовск - Нижневартовск,2016-08-21,3
Барнаул - Барнаул,2016-08-21,3
Нарьян-Мар - Нарьян-Мар,2016-08-21,3
Самара - Курумоч,2016-08-21,3
Бугульма - Бугульма,2016-08-21,3
Ставрополь - Ставрополь,2016-08-21,3
Череповец - Череповец,2016-08-21,3
Ульяновск - Ульяновск-Восточный,2016-08-21,3
Нальчик - Нальчик,2016-08-21,3
Калининград - Храброво,2016-08-21,3
Мурманск - Мурманск,2016-08-21,2
Горно-Алтайск - Горно-Алтайск,2016-08-21,2
